発生日時,違反内容,科目名
11/28/23,不正行為,ITEC 120
11/28/23,不正行為,ITEC 120
11/28/23,不正行為,ITEC 120
11/28/23,不正行為,ITEC 120
11/30/23,"捏造, 改ざん",ESHE 225 - Practicum
12/4/23,盗用,ANSC 205 Intro to Sociolinguistics
12/6/23,"捏造, 改ざん",ESHE 325 - Practicum
12/6/23,盗用,英語 111
12/7/23,盗用,英語 111
12/11/23,不正行為,Stat 200
12/11/23,不正行為,Stat 200
12/11/23,不正行為,Stat 200
1/2/24,盗用,英語 111
1/8/24,盗用,英語 111
2/13/24,改ざん,CHEM 302 - Organic 化学
2/21/24,不正行為,EDSP 462.01 (18096)
2/21/24,不正幇助,EDSP 462.01 (18096)
3/13/24,"不正行為, 盗用",Poetry Writing Engl 310-01
3/22/24,不正行為,NURS 352
3/26/24,盗用,NURS 366
3/26/24,盗用,NURS 366
4/10/24,"不正行為, 盗用",英語 111
4/10/24,盗用,英語 111 - Principles of Composition
4/22/24,盗用,ENGL 112: Critical Reading and Writing in the Digital Age
4/25/24,不正行為,ITEC 120
4/25/24,不正行為,ITEC 120
4/26/24,盗用,CRJU 235-02
4/26/24,盗用,英語 111 - Principles of Composition
4/26/24,盗用,英語 111 - Principles of Composition
4/26/24,盗用,POSC 320: Congress
4/26/24,不正行為,ITEC 320: Procedural Analysis & Design
5/2/24,盗用,Financial Innovation: Features & Applications
5/2/24,盗用,Financial Innovation: Features & Applications
5/2/24,盗用,Financial Innovation: Features & Applications
5/14/24,盗用,Dissertation Writing
5/14/24,盗用,EDRD 688 Foundations of Literacy Instruction
5/21/24,盗用,英語 112
10/3/24,不正行為,化学 of Life/ CHEM 120-03
10/16/24,"不正行為, 盗用",SOCY 497- Senior Seminar in 社会学
10/30/24,"不正行為, 盗用",PSYCH 631- Cognitive and Intellectual Assessment
11/14/24,不正行為,"Principals of Marketing, MKTG 340"
11/20/24,"不正行為, 捏造",SOC 380-01
12/3/24,"不正行為, 盗用",SOC 110-12
12/6/24,"改ざん, 偽造",ASL 221
12/11/24,盗用,英語 111
12/12/24,不正行為,"Principals of Marketing, MKTG 340"
12/12/24,不正行為,マーケティングの原則/ MKTG 340
12/15/24,不正行為,"Principals of Marketing, MKTG 340"
12/18/24,盗用,EDSP 472
12/23/24,不正行為,UNIV 100-32
2/26/25,"不正行為, 盗用",OCTH623-02
3/5/25,不正行為,ESHE 396-01
3/6/25,不正行為,OCTH 621
4/9/25,盗用,個体生物学/ BIOL 390-01
4/18/25,不正行為,CS 120
4/18/25,不正行為,CS 120
4/18/25,"不正行為, 改ざん",Gerontological 看護学/ NURS 444
4/20/25,不正行為,"Principals of Marketing, MKTG 340"
5/2/25,"不正行為, 盗用",ENGL 300-01
5/12/25,盗用,英語 112
5/19/25,盗用,英語 112
5/20/25,不正行為,CS 380- Organization of Programming Languages
